Month,GDP (million),Percent GDP,CPI,Percent CPI,Commodity Index,Seasonally adjusted unemployment (%),Owner Occ. Hsing Dbt / Inc,Interest Rates (%pa),Cash Rate (%),AUD/USD exchange rate
Jun-1922,,,2.8,,,,,,,
Sep-1922,,,2.8,,,,,,,
Dec-1922,,,2.7,,,,,,,
Mar-1923,,,2.7,,,,,,,
Jun-1923,,,2.8,2.3,,,,,,
Sep-1923,,,2.9,3.8,,,,,,
Dec-1923,,,2.9,4.6,,,,,,
Mar-1924,,,2.8,1.4,,,,,,
Jun-1924,,,2.8,-1.7,,,,,,
Sep-1924,,,2.8,-3.7,,,,,,
Dec-1924,,,2.8,-3.3,,,,,,
Mar-1925,,,2.8,0.8,,,,,,
Jun-1925,,,2.8,1.6,,,,,,
Sep-1925,,,2.8,2.9,,,,,,
Dec-1925,,,2.8,2.8,,,,,,
Mar-1926,,,2.8,1.5,,,,,,
Jun-1926,,,2.9,2.7,,,,,,
Sep-1926,,,2.9,0.8,,,,,,
Dec-1926,,,2.8,0.5,,,,,,
Mar-1927,,,2.8,-0.6,,,,,,
Jun-1927,,,2.8,-3.0,,,,,,
Sep-1927,,,2.8,-0.5,,,,,,
Dec-1927,,,2.9,0.5,,,,,,
Mar-1928,,,2.9,1.1,,,,,,
Jun-1928,,,2.9,2.1,,,,,,
Sep-1928,,,2.9,0.3,,,,,,
Dec-1928,,,2.9,-0.5,,,,,,
Mar-1929,,,2.9,2.3,,,,,,
Jun-1929,,,2.9,1.8,,,,,,
Sep-1929,,,2.9,2.6,,,,,,
Dec-1929,,,2.9,2.5,,,,,,
Mar-1930,,,2.8,-2.9,,,,,,
Jun-1930,,,2.8,-3.9,,,,,,
Sep-1930,,,2.7,-6.5,,,,,,
Dec-1930,,,2.6,-10.3,,,,,,
Mar-1931,,,2.6,-10.0,,,,,,
Jun-1931,,,2.5,-11.4,,,,,,
Sep-1931,,,2.4,-11.6,,,,,,
Dec-1931,,,2.4,-8.8,,,,,,
Mar-1932,,,2.4,-6.5,,,,,,
Jun-1932,,,2.4,-5.1,,,,,,
Sep-1932,,,2.3,-3.6,,,,,,
Dec-1932,,,2.3,-4.3,,,,,,
Mar-1933,,,2.3,-5.4,,,,,,
Jun-1933,,,2.3,-3.9,,,,,,
Sep-1933,,,2.3,-2.3,,,,,,
Dec-1933,,,2.3,-0.6,,,,,,
Mar-1934,,,2.3,1.3,,,,,,
Jun-1934,,,2.3,1.7,,,,,,
Sep-1934,,,2.3,1.4,,,,,,
Dec-1934,,,2.3,1.9,,,,,,
