Month,Cash Rate (%),AUD/USD exchange rate
Jan-2010,3.75,0.8909
Feb-2010,3.75,0.8899
Mar-2010,3.98,0.9159
Apr-2010,4.22,0.93
May-2010,4.48,0.849
Jun-2010,4.5,0.8523
Jul-2010,4.5,0.8986
Aug-2010,4.5,0.8918
Sep-2010,4.5,0.9667
Oct-2010,4.5,0.9761
Nov-2010,4.73,0.9618
Dec-2010,4.75,1.0163
Jan-2011,4.75,0.9924
Feb-2011,4.75,1.0163
Mar-2011,4.75,1.0334
Apr-2011,4.75,1.09
May-2011,4.75,1.0709
Jun-2011,4.75,1.0739
Jul-2011,4.75,1.0954
Aug-2011,4.75,1.0691
Sep-2011,4.75,0.9781
Oct-2011,4.75,1.0509
Nov-2011,4.51,1.0021
Dec-2011,4.3,1.0156
Jan-2012,4.25,1.0637
Feb-2012,4.25,1.0816
Mar-2012,4.25,1.0402
Apr-2012,4.25,1.0453
May-2012,3.77,0.9727
Jun-2012,3.54,1.0191
Jul-2012,3.5,1.0526
Aug-2012,3.5,1.0301
Sep-2012,3.5,1.0464
Oct-2012,3.27,1.0378
Nov-2012,3.25,1.0431
Dec-2012,3.03,1.0384
Jan-2013,3.0,1.0394
Feb-2013,3.0,1.0275
Mar-2013,3.0,1.0426
Apr-2013,3.0,1.0368
May-2013,2.8,0.9649
Jun-2013,2.75,0.9275
Jul-2013,2.75,0.9037
Aug-2013,2.55,0.8947
Sep-2013,2.5,0.9309
Oct-2013,2.5,0.949
Nov-2013,2.5,0.9087
Dec-2013,2.5,0.8948
Jan-2014,2.5,0.8763
Feb-2014,2.5,0.8947
Mar-2014,2.5,0.9221
Apr-2014,2.5,0.9287
May-2014,2.5,0.9319
Jun-2014,2.5,0.942
Jul-2014,2.5,0.9324
Aug-2014,2.5,0.9349
Sep-2014,2.5,0.8752
Oct-2014,2.5,0.8805
Nov-2014,2.5,0.8491
Dec-2014,2.5,0.8202
Jan-2015,2.5,0.7781
Feb-2015,2.28,0.7792
Mar-2015,2.25,0.7634
Apr-2015,2.25,0.7981
May-2015,2.04,0.7663
Jun-2015,2.0,0.768
Jul-2015,2.0,0.7294
Aug-2015,2.0,0.7149
Sep-2015,2.0,0.701
Oct-2015,2.0,0.7099
Nov-2015,2.0,0.7189
Dec-2015,2.0,0.7306
Jan-2016,2.0,0.71
Feb-2016,2.0,0.714
Mar-2016,2.0,0.7657
Apr-2016,2.0,0.7655
May-2016,1.77,0.7242
Jun-2016,1.75,0.7426
Jul-2016,1.75,0.7522
Aug-2016,1.52,0.7514
Sep-2016,1.5,0.763
Oct-2016,1.5,0.7613
Nov-2016,1.5,0.7474
Dec-2016,1.5,0.7236
Jan-2017,1.5,0.7567
Feb-2017,1.5,0.7688
Mar-2017,1.5,0.7644
Apr-2017,1.5,0.7475
May-2017,1.5,0.745
Jun-2017,1.5,0.7692
Jul-2017,1.5,0.7987
Aug-2017,1.5,0.7898
Sep-2017,1.5,0.7839
Oct-2017,1.5,0.7673
Nov-2017,1.5,0.7585
Dec-2017,1.5,0.78
Jan-2018,1.5,0.8073
Feb-2018,1.5,0.7792
Mar-2018,1.5,0.7665
Apr-2018,1.5,0.757
May-2018,1.5,0.7564
Jun-2018,1.5,0.7391
Jul-2018,1.5,0.7431
Aug-2018,1.5,0.726
Sep-2018,1.5,0.7222
Oct-2018,1.5,0.7085
Nov-2018,1.5,0.7316
Dec-2018,1.5,0.7058
Jan-2019,1.5,0.7268
Feb-2019,1.5,0.7146
Mar-2019,1.5,0.7087
Apr-2019,1.5,0.7039
May-2019,1.5,0.6916
Jun-2019,1.28,0.7013
Jul-2019,1.02,0.6894
Aug-2019,1.0,0.6718
Sep-2019,1.0,0.6749
Oct-2019,0.76,0.6926
Nov-2019,0.75,0.6777
Dec-2019,0.75,0.7006
Jan-2020,0.75,0.6724
Feb-2020,0.75,0.6524
Mar-2020,0.43,0.6175
Apr-2020,0.16,0.6566
May-2020,0.14,0.6659
Jun-2020,0.14,0.6863
Jul-2020,0.13,0.7213
Aug-2020,0.13,0.7354
Sep-2020,0.13,0.7108
Oct-2020,0.13,0.7044
Nov-2020,0.06,0.7393
Dec-2020,0.04,0.7702
Jan-2021,0.03,0.7645
Feb-2021,0.03,0.7829
Mar-2021,0.03,0.7602
Apr-2021,0.03,0.7776
May-2021,0.03,0.7725
Jun-2021,0.03,0.7518
Jul-2021,0.03,0.7381
Aug-2021,0.03,0.7335
Sep-2021,0.03,0.7206
Oct-2021,0.03,0.7546
Nov-2021,0.04,0.7144
Dec-2021,0.04,0.7256
Jan-2022,0.05,0.7011
Feb-2022,0.05,0.7182
Mar-2022,0.05,0.7482
Apr-2022,0.06,0.7148
May-2022,0.29,0.7187
Jun-2022,0.69,0.6889
Jul-2022,1.24,0.7007
Aug-2022,1.77,0.6902
Sep-2022,2.21,0.6502
Oct-2022,2.54,0.642
Nov-2022,2.8,0.6698
Dec-2022,3.01,0.6775
Jan-2023,3.07,0.7037
Feb-2023,3.26,0.673
Mar-2023,3.51,0.6712
